timestamp;ipO;portO;ipD;portD;signature;class;priority;eth
2008-12-05 08:52:33.446;10.13.1.86;NULL;10.100.113.48;NULL;[122:7:0] (portscan) TCP Filtered Portsweep;NULL;-1;6
2008-12-05 08:52:44.261;10.13.1.86;NULL;10.110.113.60;NULL;[122:7:0] (portscan) TCP Filtered Portsweep;NULL;-1;7
2008-12-05 08:52:52.274;10.13.1.86;NULL;10.120.113.42;NULL;[122:7:0] (portscan) TCP Filtered Portsweep;NULL;-1;8
2008-12-05 08:53:18.257;10.13.1.86;NULL;10.199.113.36;NULL;[122:7:0] (portscan) TCP Filtered Portsweep;NULL;-1;9
2008-12-05 08:53:21.011;10.13.1.32;NULL;10.100.113.24;NULL;[122:7:0] (portscan) TCP Filtered Portsweep;NULL;-1;6
2008-12-05 08:55:46.713;10.13.1.32;NULL;10.100.113.9;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:55:49.737;10.13.1.32;NULL;10.100.113.3;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:55:53.517;10.13.1.32;NULL;10.100.113.8;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:55:53.517;10.13.1.32;NULL;10.100.113.15;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:55:55.03;10.13.1.32;NULL;10.100.113.27;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:55:56.037;10.13.1.32;NULL;10.100.113.21;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:55:56.542;10.13.1.32;NULL;10.100.113.1;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:55:57.549;10.13.1.32;NULL;10.100.113.2;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:55:58.306;10.13.1.32;NULL;10.100.113.0;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:55:59.061;10.13.1.32;NULL;10.100.113.20;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:55:59.569;10.13.1.32;NULL;10.100.113.26;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:00.576;10.13.1.32;NULL;10.100.113.23;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:00.576;10.13.1.32;NULL;10.100.113.24;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:00.829;10.13.1.32;NULL;10.100.113.10;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:01.08;10.13.1.32;NULL;10.100.113.14;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:02.593;10.13.1.32;NULL;10.100.113.28;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:02.844;10.13.1.32;NULL;10.100.113.4;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:02.844;10.13.1.32;NULL;10.100.113.6;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:03.096;10.13.1.32;NULL;10.100.113.11;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:03.601;10.13.1.32;NULL;10.100.113.17;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:03.601;10.13.1.32;NULL;10.100.113.22;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:04.861;10.13.1.32;NULL;10.100.113.5;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:05.112;10.13.1.32;NULL;10.100.113.7;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:05.501;10.13.1.37;NULL;10.100.113.16;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:05.616;10.13.1.32;NULL;10.100.113.18;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:06.625;10.13.1.32;NULL;10.100.113.12;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:56:07.13;10.13.1.32;NULL;10.100.113.29;NULL;[122:5:0] (portscan) TCP Filtered Portscan;NULL;-1;6
2008-12-05 08:58:53.101;10.13.1.52;NULL;10.100.113.1;NULL;[1:469:4] ICMP PING NMAP;Attempted Information Leak;2;6
2008-12-05 08:58:53.101;10.13.1.52;NULL;10.100.113.2;NULL;[1:469:4] ICMP PING NMAP;Attempted Information Leak;2;6
2008-12-05 08:58:53.102;10.13.1.52;NULL;10.100.113.3;NULL;[1:469:4] ICMP PING NMAP;Attempted Information Leak;2;6
2008-12-05 08:58:53.102;10.13.1.52;NULL;10.100.113.4;NULL;[1:469:4] ICMP PING NMAP;Attempted Information Leak;2;6
2008-12-05 08:58:53.102;10.13.1.52;NULL;10.100.113.5;NULL;[1:469:4] ICMP PING NMAP;Attempted Information Leak;2;6
2008-12-05 08:58:53.102;10.13.1.52;NULL;10.100.113.6;NULL;[1:469:4] ICMP PING NMAP;Attempted Information Leak;2;6
2008-12-05 08:58:53.102;10.13.1.52;NULL;10.100.113.7;NULL;[1:469:4] ICMP PING NMAP;Attempted Information Leak;2;6
2008-12-05 08:58:53.102;10.13.1.52;NULL;10.100.113.8;NULL;[1:469:4] ICMP PING NMAP;Attempted Information Leak;2;6
2008-12-05 08:58:53.102;10.13.1.52;NULL;10.100.113.9;NULL;[1:469:4] ICMP PING NMAP;Attempted Information Leak;2;6
2008-12-05 08:58:53.102;10.13.1.52;NULL;10.100.113.10;NULL;[122:26:0] (portscan) ICMP Filtered Sweep;NULL;-1;6
2008-12-05 08:58:53.102;10.13.1.52;NULL;10.100.113.10;NULL;[1:469:4] ICMP PING NMAP;Attempted Information Leak;2;6
